"csoc","cetab","cnatie","ctie","ccdetyp","ni1","nlig","cart","typligne","cu1cde","cu2cde","tcmpspe","tcom","tcrit","tpvc","cupvc","tgratuit","qte1","qte2","ccond","ccondnv1","ccondnv2","ccondnv3","cuprix","lstcucde","admstamp","cacteurpre"
"CL","01","CLT","TOT400TAMP","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOT400TAMP","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLA2CANONS","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","OLAMONCAPR","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGBDNSTPA","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGEPERON","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGETANGSA","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK2","2","2","V0100","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK2","3","3","V0101","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","ENGCHAUDRO","SNACK2","4","4","V0102","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","1","1","V0081","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","2","2","V0082","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","3","3","V0083","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","4","4","V0084","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","5","5","V0085","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","6","6","V0086","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","7","7","V0087","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","9","9","V0089","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","10","10","V0090","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","11","11","V0091","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","12","12","V0092","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","13","13","V0093","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","19","14","V0109","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","14","15","V0094","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","15","16","V0095","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","16","17","V0096","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK1","17","18","V0097","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
"CL","01","CLT","TOTBDNSTPA","SNACK2","1","1","V0099","NORM","P","","False","False","False","False","","False","0,0000","0,0000","","","","","P","P","1",""
